GSM993606,LC_C1
GSM993607,LC_C2
GSM993608,LC_C3
GSM993610,LC_C4
GSM993611,LC_C5
GSM993612,LC_C6
GSM993613,LC_C7
GSM993614,LC_C8
GSM993616,LC_C9
GSM993617,LC_C10
GSM993618,LC_C11
GSM993619,LC_C12
GSM993620,LC_C13
GSM993621,LC_C14
GSM993622,LC_C15
GSM993623,LC_C16
GSM993624,LC_C17
GSM993625,LC_C18
GSM993626,LC_C19
GSM993627,LC_C20
GSM993628,LC_C21
GSM993629,LC_C22
GSM993630,LC_C23
GSM993631,LC_C24
GSM993632,LC_C25
GSM993633,LC_C26
GSM993634,LC_C27
GSM993635,LC_C28
GSM993636,LC_C29
GSM993637,LC_C30
GSM993638,LC_C31
GSM993639,LC_C32
GSM993640,LC_C33
GSM993641,LC_C34
GSM993642,LC_C35
GSM993643,LC_C36
GSM993644,LC_S1
GSM993645,LC_S2
GSM993646,LC_S3
GSM993647,LC_S4
GSM993648,LC_S5
GSM993649,LC_S6
GSM993650,LC_S8
GSM993651,LC_S9
GSM993652,LC_S10
GSM993653,LC_S11
GSM993654,LC_S12
GSM993655,LC_S13
GSM993656,LC_S14
GSM993657,LC_S15
GSM993658,LC_S16
GSM993659,LC_S17
GSM993660,LC_S18
GSM993661,LC_S19
GSM993662,LC_S20
GSM993663,LC_S21
GSM993664,LC_S22
GSM993665,LC_S23
GSM993666,LC_S24
GSM993667,LC_S25
GSM993668,LC_S26
GSM993669,LC_S27
GSM993670,LC_S28
GSM993671,LC_S29
GSM993672,LC_S30
GSM993673,LC_S31
GSM993674,LC_S32
GSM993675,LC_S33
GSM993676,LC_S34
GSM993677,LC_S35
GSM993678,LC_S36
GSM993679,LC_S37
GSM993680,LC_S38
GSM993681,LC_S39
GSM993682,LC_S40
GSM993683,LC_S41
GSM993684,LC_S42
GSM993685,LC_S43
GSM993686,LC_S44
GSM993687,LC_S45
GSM993688,LC_S46
GSM993689,LC_S47
GSM993690,LC_S48
GSM993691,LC_S49
GSM993692,LC_S50
GSM993693,LC_S51
GSM993694,LC_S52
GSM993695,LC_C1_nor
GSM993696,LC_C2_nor
GSM993697,LC_C3_nor
GSM993698,LC_C5_nor
GSM993699,LC_C7_nor
GSM993700,LC_C9_nor
GSM993701,LC_C10_nor
GSM993702,LC_C11_nor
GSM993703,LC_C12_nor
GSM993704,LC_C14_nor
GSM993705,LC_C16_nor
GSM993706,LC_C17_nor
GSM993707,LC_C18_nor
GSM993708,LC_C19_nor
GSM993709,LC_C20_nor
GSM993710,LC_C21_nor
GSM993711,LC_C22_nor
GSM993712,LC_C24_nor
GSM993713,LC_C25_nor
GSM993714,LC_C28_nor
GSM993715,LC_C29_nor
GSM993716,LC_C30_nor
GSM993717,LC_C31_nor
GSM993718,LC_C33_nor
GSM993719,LC_C34_nor
GSM993720,LC_C35_nor
GSM993721,LC_C36_nor
GSM993722,LC_S1_nor
GSM993723,LC_S2_nor
GSM993724,LC_S3_nor
GSM993725,LC_S4_nor
GSM993726,LC_S5_nor
GSM993727,LC_S6_nor
GSM993728,LC_S8_nor
GSM993729,LC_S9_nor
GSM993730,LC_S10_nor
GSM993731,LC_S11_nor
GSM993732,LC_S13_nor
GSM993733,LC_S14_nor
GSM993734,LC_S15_nor
GSM993735,LC_S16_nor
GSM993736,LC_S17_nor
GSM993737,LC_S18_nor
GSM993738,LC_S19_nor
GSM993739,LC_S20_nor
GSM993740,LC_S21_nor
GSM993741,LC_S22_nor
GSM993742,LC_S23_nor
GSM993743,LC_S24_nor
GSM993744,LC_S25_nor
GSM993745,LC_S26_nor
GSM993746,LC_S27_nor
GSM993747,LC_S28_nor
GSM993748,LC_S29_nor
GSM993749,LC_S30_nor
GSM993750,LC_S31_nor
GSM993751,LC_S32_nor
GSM993752,LC_S33_nor
GSM993753,LC_S34_nor
GSM993754,LC_S35_nor
GSM993755,LC_S36_nor
GSM993756,LC_S37_nor
GSM993757,LC_S38_nor
GSM993758,LC_S39_nor
GSM993759,LC_S40_nor
GSM993760,LC_S41_nor
GSM993761,LC_S42_nor
GSM993762,LC_S43_nor
GSM993763,LC_S44_nor
GSM993764,LC_S45_nor
GSM993765,LC_S46_nor
GSM993766,LC_S47_nor
GSM993767,LC_S48_nor
GSM993768,LC_S49_nor
GSM993769,LC_S50_nor
GSM993770,LC_S51_nor
GSM993771,LC_S52_nor
